trail_name
east-shore-indian-cove-mcgregor-and-ten-hills-loop
ten-hills-east-shore-loop
lake-chabot-via-east-shore-trail
stanford-dish-loop-trail
bayview-and-meadowlark-trail-loop
devil-s-slide
sawyer-camp-trail
bay-trail-shoreline-lake
